down,ydstogo,Yards.Gained.PrevPlay,Yards.Gained,AirYards,PassLocation,PassOutcome
1,10,18,9,-4,1,1
1,10,0,14,9,1,1
3,22,6,10,1,1,1
1,10,0,13,7,-1,1
1,10,13,12,6,-1,1
1,10,12,13,7,-1,1
1,10,0,0,5,1,0
2,10,0,0,25,1,0
3,5,-1,10,6,-1,1
1,15,4,3,-1,1,1
3,18,-6,17,17,-1,1
1,20,5,9,5,-1,1
2,11,9,9,4,-1,1
2,13,-3,7,-2,-1,1
3,6,7,8,6,0,1
2,7,0,13,11,1,1
1,10,13,19,16,1,1
1,10,19,16,6,1,1
2,8,2,0,0,-1,0
3,8,0,43,39,-1,1
3,3,1,0,19,1,0
1,10,0,14,11,0,1
2,10,0,18,17,-1,1
1,10,18,12,7,0,1
1,9,2,3,4,-1,1
2,6,3,6,6,0,1
1,10,0,5,5,1,1
2,15,9,9,4,-1,1
3,6,9,37,26,1,1
2,8,2,5,0,-1,1
3,3,5,0,23,1,0
4,3,0,4,4,0,1
2,5,5,0,26,-1,0
3,5,0,0,7,0,0
1,10,0,10,4,1,1
3,5,1,10,5,1,1
2,1,9,6,-1,-1,1
2,1,0,1,0,-1,1
1,10,28,33,23,-1,1
1,10,13,-5,-5,-1,1
2,15,-5,12,7,0,1
3,6,-1,12,2,-1,1
1,10,0,26,25,1,1
2,5,5,6,2,1,1
2,8,0,3,1,1,1
1,1,0,0,1,0,0
1,10,0,52,18,1,1
1,10,0,0,27,0,0
3,5,5,19,4,0,1
2,1,0,0,1,1,0
3,1,0,1,1,-1,1
2,3,7,0,9,0,0
3,3,0,0,9,1,0
2,12,-2,0,23,1,0
3,12,0,0,6,0,0
1,10,0,18,18,1,1
1,10,18,0,39,-1,0
2,9,1,10,7,-1,1
3,4,3,0,-3,1,0
1,10,0,0,11,1,0
2,10,0,9,4,-1,1
3,1,9,7,6,0,1
1,10,0,0,29,0,0
2,10,0,2,1,-1,1
3,8,2,13,13,0,1
2,27,-7,18,14,0,1
3,9,0,0,12,-1,0
4,9,0,16,15,-1,1
1,10,0,11,11,-1,1
1,10,11,11,11,-1,1